net,length_um
_00917_,58.32
_02391_,58.28
_05680_,58.24
_00031_,58.13
_06794_,57.92
_02231_,57.86
_03585_,57.86
_04385_,57.72
_02208_,57.375
_06656_,57.32
_04646_,57.3
_05121_,57.24
_05608_,57.14
_01740_,57.12
_00126_,57.02
_02577_,56.74
_02357_,56.69
_06610_,56.635
_00155_,56.26
_02312_,56.1
net106,55.9
_02159_,55.8
_04626_,55.795
_02148_,55.36
_06690_,55.24
_05898_,55.14
_05819_,54.88
_06505_,54.58
_05039_,54.52
_01431_,54.5
_04447_,54.41
_05592_,54.4
_01171_,54.24
_05466_,54.22
_03053_,54.06
_05952_,53.96
_04476_,53.9
_03595_,53.84
_02192_,53.76
_01908_,53.695
_06951_,53.56
_07029_,53.5
_06884_,53.44
_06653_,53.38
_02045_,53.19
_04601_,53.14
_02795_,53.02
_06075_,52.94
_02939_,52.74
_01489_,52.535
_04274_,52.48
_01256_,52.42
_02536_,52.4
_05012_,52.02
_06645_,52
_06496_,51.96
_03578_,51.71
_05346_,51.62
_01607_,51.6
_02296_,51.54
_01329_,51.44
_01046_,51.22
_02591_,51.14
_02374_,51.1
_00417_,51.08
_00987_,51.06
_05305_,51.06
_00603_,51.04
_06438_,50.96
_05708_,50.94
_00602_,50.93
_02713_,50.9
_02061_,50.74
_06759_,50.72
_00673_,50.7
_01952_,50.62
_02276_,50.36
_04464_,50.18
_02178_,49.96
_00716_,49.945
_06430_,49.8
_05461_,49.76
_03634_,49.72
_06516_,49.64
net137,49.64
_04876_,49.46
_02465_,49.28
_03234_,49.28
_04070_,49.25
_02251_,49.2
_01223_,49.1
_04387_,49.02
_01047_,49.01
_02052_,48.91
_06558_,48.7
_05765_,48.6
_02979_,48.595
_04184_,48.59
_06565_,48.58
_04396_,48.5
_06300_,48.39
_02129_,48.38
_02275_,48.24
_01310_,48.22
_01456_,48.16
_02495_,48.14
_02692_,48.12
_05941_,48.1
_04177_,48.09
_04356_,48.06
_01221_,48.02
_03048_,48.02
_00110_,47.9
_02994_,47.88
_05303_,47.84
_01420_,47.8
_01444_,47.76
_00896_,47.57
net136,47.54
_06627_,47.47
_00931_,47.42
_04707_,47.42
_02436_,47.4
_01543_,47.36
_04042_,47.36
_05426_,47.32
_06048_,47.32
_01162_,47.28
_05251_,47.18
_07039_,47.12
_03081_,47.08
_05647_,47.035
_05960_,46.82
_02113_,46.8
_05474_,46.78
_02615_,46.77
_05763_,46.7
_04403_,46.52
_05788_,46.38
_06073_,46.38
_01647_,46.36
_03013_,46.34
_00610_,46.325
_06752_,46.28
_06099_,46.19
_01608_,46.1
_04596_,46
_04252_,45.96
_05362_,45.94
_02470_,45.92
_01683_,45.88
_05040_,45.82
_05654_,45.76
_01433_,45.54
_05017_,45.54
_06994_,45.5
_03023_,45.48
_01263_,45.41
_05459_,45.34
_05549_,45.24
_03408_,45
_05368_,44.92
_05663_,44.86
_05579_,44.8
_06550_,44.8
_02492_,44.76
_04531_,44.73
_06864_,44.68
_05433_,44.56
_00463_,44.54
_05130_,44.52
_05545_,44.52
_00360_,44.44
_05009_,44.44
_05830_,44.4
_02283_,44.36
_03565_,44.26
_06824_,44.24
_05634_,44.22
_02475_,44.215
_01167_,44.2
_01792_,44.14
_05462_,44.1
_03942_,44.08
_02494_,43.96
_03625_,43.96
_04467_,43.96
_03747_,43.9
_01402_,43.76
_03496_,43.62
_02672_,43.55
_01524_,43.44
_01578_,43.42
_01237_,43.4
_04602_,43.4
_05665_,43.26
_01356_,43.2
_02085_,43
_00233_,42.98
_00950_,42.96
_02253_,42.94
_02445_,42.78
_01316_,42.72
_05548_,42.64
_05698_,42.64
_02139_,42.62
_06316_,42.61
_02493_,42.58
_02663_,42.475
_06223_,42.46
_02031_,42.34
_02699_,42.34
_05528_,42.34
_02303_,42.32
_05405_,42.32
_06511_,42.22
_00609_,42.14
_06622_,42.12
_00761_,42.1
_06728_,42.1
_01579_,42.08
_04716_,42.04
_02005_,41.92
_03211_,41.92
_01417_,41.84
_01791_,41.82
_00057_,41.8
_01007_,41.67
_00711_,41.62
_02717_,41.58
_00249_,41.325
_01436_,41.28
_06121_,41.2
_00671_,41.1
_00821_,41
_03196_,40.68
net99,40.62
_06473_,40.46
_01833_,40.4
_04536_,40.37
_00061_,40.36
_03181_,40.36
_05732_,40.34
_05292_,40.26
_00816_,40.2
net124,40.2
_01239_,40.14
_01437_,40.14
_06774_,40.12
_05722_,40.07
_06776_,39.96
_00282_,39.95
_05436_,39.94
_06854_,39.9
_00077_,39.84
_00569_,39.82
_01639_,39.82
_04769_,39.82
_04172_,39.74
_03616_,39.72
_05480_,39.7
_04701_,39.68
_01163_,39.62
_02616_,39.5
_04891_,39.41
_02707_,39.32
_06613_,39.28
_05775_,39.24
_00913_,39.2
_01382_,39.18
_00631_,39.14
_04610_,39.08
_01034_,38.98
_01510_,38.715
_01636_,38.71
_02028_,38.7
_06102_,38.68
_02381_,38.65
_03378_,38.62
_01773_,38.58
_00406_,38.28
_01261_,38.24
_00763_,38.12
_02912_,38.12
_05035_,38.02
_04704_,37.97
_01086_,37.96
_02760_,37.96
_02714_,37.92
_05357_,37.92
_00615_,37.8
_03438_,37.725
_06211_,37.7
_01302_,37.68
_01186_,37.66
_01228_,37.56
_01837_,37.48
_05253_,37.34
_03621_,37.24
_04581_,37.22
_06487_,37.1
_01419_,37.01
_01428_,36.96
_02313_,36.89
_02310_,36.84
_05956_,36.76
_05741_,36.74
_03242_,36.72
_04109_,36.6
_04251_,36.58
_02541_,36.56
_02269_,36.53
_05313_,36.52
_04307_,36.42
_06441_,36.36
_03941_,36.32
_06423_,36.3
_01717_,36.28
_00136_,36.24
_03545_,36.235
_06894_,36.1
_00847_,36.06
_06998_,36.04
_00769_,36.02
_01242_,36.02
_05258_,35.89
_03421_,35.86
_04554_,35.8
_00554_,35.78
_02272_,35.75
_04827_,35.74
_03702_,35.72
_05161_,35.72
_01283_,35.7
_01538_,35.66
_05913_,35.64
_02055_,35.46
_06635_,35.44
_05248_,35.42
_00556_,35.38
_02407_,35.32
_05760_,35.32
_06319_,35.24
_00565_,35.18
_04499_,35.16
_02193_,35.14
_05493_,35.14
_03250_,35.1
_04308_,35.1
_06243_,35.1
net182,35.06
_05439_,35.04
_02371_,34.98
_05630_,34.97
_03416_,34.86
_04608_,34.86
_01090_,34.76
_03547_,34.74
_05475_,34.74
_01023_,34.72
_05134_,34.5
_03218_,34.44
_06523_,34.44
_06680_,34.28
_03808_,34.2
_02893_,34.14
net161,34.12
_06621_,34.08
_01582_,34.02
_00421_,33.99
_00357_,33.96
_04614_,33.96
_01169_,33.92
_00589_,33.8
_02142_,33.8
_02399_,33.8
_06537_,33.8
_01631_,33.72
_03254_,33.7
_04996_,33.66
_03010_,33.62
_04654_,33.58
_02273_,33.53
_02561_,33.5
_05352_,33.47
_05747_,33.44
_04383_,33.4
_01766_,33.33
_04102_,33.29
_06252_,33.13
_03167_,33.08
_06686_,33.06
_04247_,33.03
_03430_,33.02
_03393_,32.92
_05649_,32.9
_02334_,32.88
_04061_,32.86
_04197_,32.72
_06773_,32.72
_05084_,32.715
_05086_,32.7
_00775_,32.63
_03775_,32.6
_03448_,32.54
_03550_,32.48
_03225_,32.46
_04276_,32.46
_03581_,32.44
_05768_,32.44
_06641_,32.42
_03434_,32.4
_02545_,32.38
_05380_,32.38
_01393_,32.36
_02989_,32.34
_02006_,32.32
_01612_,32.18
_03419_,32.18
_03774_,32.14
_05479_,32.12
_04309_,32.06
_00181_,32.04
_01800_,32.04
_02472_,32.04
_00894_,32.02
_05321_,32.02
_05706_,32.01
_01409_,31.98
_02409_,31.975
_04993_,31.96
_00555_,31.88
_03623_,31.88
_02473_,31.86
_04595_,31.8
_01916_,31.78
_04012_,31.76
_06308_,31.7
_00202_,31.5
_00812_,31.5
_05326_,31.5
_04864_,31.46
_04744_,31.34
_00710_,31.335
_06201_,31.28
_05867_,31.24
_04454_,31.21
_00772_,31.2
_06054_,31.2
_06935_,31.18
_04173_,31.14
_01427_,31.12
_04488_,31.06
_01793_,31.04
_03456_,31.04
_00301_,30.96
_07080_,30.94
_06263_,30.92
_06636_,30.88
_01315_,30.8
_02562_,30.8
_03992_,30.8
_00949_,30.78
_03426_,30.78
_06524_,30.76
_03929_,30.74
_03671_,30.735
_05144_,30.72
_00445_,30.7
_00239_,30.68
_03928_,30.66
